name,owner,repo_name,stars,created_at,updated_at,primary_language,releases,open_issues,closed_issues,closed_issues_ratio,merged_pull_requests,age_years,days_since_update
freeCodeCamp/freeCodeCamp,freeCodeCamp,freeCodeCamp,426201,2014-12-24T17:49:19Z,2025-08-22T17:17:13Z,TypeScript,0,194,19637,0.99,25730,10.66,0
codecrafters-io/build-your-own-x,codecrafters-io,build-your-own-x,412986,2018-05-09T12:03:18Z,2025-08-22T17:26:56Z,Markdown,0,229,595,0.72,142,7.29,0
sindresorhus/awesome,sindresorhus,awesome,394046,2014-07-11T13:42:37Z,2025-08-22T17:23:49Z,Unknown,0,13,340,0.96,679,11.12,0
EbookFoundation/free-programming-books,EbookFoundation,free-programming-books,365743,2013-10-11T06:50:37Z,2025-08-22T17:25:13Z,Python,0,31,1150,0.97,6820,11.86,0
public-apis/public-apis,public-apis,public-apis,362405,2016-03-20T23:49:42Z,2025-08-22T17:25:42Z,Python,0,8,704,0.99,1872,9.42,0
kamranahmedse/developer-roadmap,kamranahmedse,developer-roadmap,334321,2017-03-15T13:45:52Z,2025-08-22T17:18:27Z,TypeScript,1,248,2693,0.92,3694,8.44,0
jwasham/coding-interview-university,jwasham,coding-interview-university,324671,2016-06-06T02:34:12Z,2025-08-22T17:16:51Z,Unknown,0,63,453,0.88,415,9.21,0
donnemartin/system-design-primer,donnemartin,system-design-primer,317053,2017-02-26T16:15:28Z,2025-08-22T17:27:20Z,Python,0,248,91,0.27,200,8.48,0
996icu/996.ICU,996icu,996.ICU,274130,2019-03-26T07:31:14Z,2025-08-22T16:27:28Z,Unknown,0,0,0,0.0,1071,6.41,0
vinta/awesome-python,vinta,awesome-python,256214,2014-06-27T21:00:06Z,2025-08-22T17:25:44Z,Python,0,0,0,0.0,544,11.15,0
awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,awesome-selfhosted,243154,2015-06-01T02:33:17Z,2025-08-22T17:27:15Z,Unknown,1,0,806,1.0,2394,10.23,0
